-11.25,0.0,4.79,0.22,1.5
-11.0,0.0,4.76,0.44,1.5
-10.75,0.0,4.73,0.66,1.5
-10.5,0.0,4.71,0.88,1.5
-10.25,0.0,4.7,1.1,1.5
-10.0,0.0,4.7,1.32,1.5
-9.75,0.0,4.7,1.54,1.5
-9.5,0.0,4.7,1.76,1.5
-9.25,0.0,4.7,1.98,1.5
-9.0,0.0,4.7,2.2,1.5
-8.75,0.0,4.7,2.42,1.5
-8.5,0.0,4.71,2.64,1.5
-8.25,0.0,4.71,2.86,1.5
-8.0,0.0,4.72,3.08,1.5
-6.0,0.0,4.72,3.3,1.5
-4.0,0.0,4.69,3.52,1.5
-2.0,0.0,4.6,3.74,1.5
0.0,0.0,4.46,3.96,1.5
2.0,0.0,4.28,4.18,1.5
4.0,0.0,4.0600000000000005,4.4,1.5
6.0,0.0,3.81,4.62,1.5
8.0,0.0,3.52,4.84,1.5
10.0,0.0,3.19,5.06,1.5
12.0,0.0,2.82,5.28,1.5
-11.25,-5.0,4.96,0.2,1.375
-11.0,-5.0,4.94,0.4,1.375
-10.75,-5.0,4.92,0.6000000000000001,1.375
-10.5,-5.0,4.9,0.8,1.375
-10.25,-5.0,4.9,1.0,1.375
-10.0,-5.0,4.9,1.2000000000000002,1.375
-9.75,-5.0,4.9,1.4,1.375
-9.5,-5.0,4.91,1.6,1.375
-9.25,-5.0,4.91,1.8,1.375
-9.0,-5.0,4.91,2.0,1.375
-8.75,-5.0,4.92,2.2,1.375
-8.5,-5.0,4.92,2.4000000000000004,1.375
-8.25,-5.0,4.93,2.6,1.375
-8.0,-5.0,4.94,2.8000000000000003,1.375
-6.0,-5.0,4.95,3.0,1.375
-4.0,-5.0,4.94,3.2,1.375
-2.0,-5.0,4.86,3.4000000000000004,1.375
0.0,-5.0,4.73,3.6,1.375
2.0,-5.0,4.57,3.8,1.375
4.0,-5.0,4.37,4.0,1.375
6.0,-5.0,4.14,4.2,1.375
8.0,-5.0,3.86,4.4,1.375
10.0,-5.0,3.55,4.6000000000000005,1.375
12.0,-5.0,3.2,4.800000000000001,1.375
-11.25,-10.0,5.11,0.174,1.25
-11.0,-10.0,5.09,0.348,1.25
-10.75,-10.0,5.08,0.522,1.25
-10.5,-10.0,5.07,0.696,1.25
-10.25,-10.0,5.07,0.8699999999999999,1.25
-10.0,-10.0,5.07,1.044,1.25
-9.75,-10.0,5.08,1.218,1.25
-9.5,-10.0,5.08,1.392,1.25
-9.25,-10.0,5.09,1.5659999999999998,1.25
-9.0,-10.0,5.1,1.7399999999999998,1.25
-8.75,-10.0,5.11,1.914,1.25
-8.5,-10.0,5.11,2.088,1.25
-8.25,-10.0,5.12,2.262,1.25
-8.0,-10.0,5.13,2.436,1.25
-6.0,-10.0,5.17,2.61,1.25
-4.0,-10.0,5.17,2.784,1.25
-2.0,-10.0,5.11,2.958,1.25
0.0,-10.0,5.0,3.132,1.25
2.0,-10.0,4.86,3.306,1.25
4.0,-10.0,4.68,3.4799999999999995,1.25
6.0,-10.0,4.46,3.654,1.25
8.0,-10.0,4.21,3.828,1.25
10.0,-10.0,3.92,4.002,1.25
12.0,-10.0,3.59,4.176,1.25
-11.5,-15.0,-0.26,0.0,1.125
-11.25,-15.0,5.22,0.1426666666666666,1.125
-11.0,-15.0,5.21,0.2853333333333333,1.125
-10.75,-15.0,5.2,0.428,1.125
-10.5,-15.0,5.2,0.5706666666666667,1.125
-10.25,-15.0,5.21,0.7133333333333334,1.125
-10.0,-15.0,5.22,0.856,1.125
-9.75,-15.0,5.23,0.9986666666666666,1.125
-9.5,-15.0,5.24,1.1413333333333333,1.125
-9.25,-15.0,5.25,1.284,1.125
-9.0,-15.0,5.26,1.4266666666666667,1.125
-8.75,-15.0,5.27,1.5693333333333332,1.125
-8.5,-15.0,5.28,1.712,1.125
-8.25,-15.0,5.29,1.854666666666667,1.125
-8.0,-15.0,5.31,1.9973333333333327,1.125
-6.0,-15.0,5.37,2.14,1.125
-4.0,-15.0,5.39,2.2826666666666666,1.125
-2.0,-15.0,5.36,2.425333333333333,1.125
0.0,-15.0,5.27,2.568,1.125
2.0,-15.0,5.15,2.7106666666666666,1.125
4.0,-15.0,4.99,2.853333333333333,1.125
6.0,-15.0,4.8,2.996,1.125
8.0,-15.0,4.57,3.1386666666666665,1.125
10.0,-15.0,4.3,3.281333333333333,1.125
12.0,-15.0,4.0,3.424,1.125
-11.5,-25.0,-0.12,0.0,1.0
-11.25,-25.0,5.38,0.074,1.0
-11.0,-25.0,5.38,0.148,1.0
-10.75,-25.0,5.39,0.222,1.0
-10.5,-25.0,5.4,0.296,1.0
-10.25,-25.0,5.42,0.37,1.0
-10.0,-25.0,5.44,0.444,1.0
-9.75,-25.0,5.45,0.518,1.0
-9.5,-25.0,5.47,0.5920000000000001,1.0
-9.25,-25.0,5.49,0.6660000000000001,1.0
-9.0,-25.0,5.51,0.7400000000000001,1.0
-8.75,-25.0,5.53,0.8140000000000001,1.0
-8.5,-25.0,5.55,0.8880000000000001,1.0
-8.25,-25.0,5.57,0.9620000000000002,1.0
-8.0,-25.0,5.59,1.036,1.0
-6.0,-25.0,5.71,1.11,1.0
-4.0,-25.0,5.78,1.1840000000000002,1.0
-2.0,-25.0,5.8,1.2580000000000002,1.0
0.0,-25.0,5.77,1.3320000000000003,1.0
2.0,-25.0,5.71,1.406,1.0
4.0,-25.0,5.6,1.4800000000000002,1.0
6.0,-25.0,5.46,1.5540000000000005,1.0
8.0,-25.0,5.29,1.628,1.0
