6.0,60.0,0.75
8.0,60.0,0.1
10.0,60.0,-0.64
12.0,60.0,-1.48
12.0,65.0,-1.78
10.0,65.0,-0.87
8.0,65.0,-0.06
6.0,65.0,0.65
4.0,65.0,1.24
2.0,65.0,1.7
0.0,65.0,2.02
-2.0,65.0,2.19
-4.0,65.0,2.21
-6.0,65.0,2.07
-8.0,65.0,1.73
-8.25,65.0,1.67
-8.5,65.0,1.6
-8.75,65.0,1.53
-9.0,65.0,1.47
-9.25,65.0,1.4
-9.5,65.0,1.32
-9.75,65.0,1.22
-10.0,65.0,1.12
-10.25,65.0,1.02
-10.5,65.0,0.93
-10.75,65.0,0.83
-11.0,65.0,0.69
-11.25,65.0,0.53
